employee_id,faculty_name,course_code,course_name,dept_code,semester,section,day,period,room
FACCSE001,Dr. A. Kumar,CS301,Data Structures,CSE,3,A,Monday,1,CSE-301
FACCSE001,Dr. A. Kumar,CS301,Data Structures,CSE,3,A,Tuesday,2,CSE-301
FACCSE001,Dr. A. Kumar,CS301,Data Structures,CSE,3,A,Wednesday,3,CSE-301
FACCSE001,Dr. A. Kumar,CS301,Data Structures,CSE,3,B,Thursday,1,CSE-302
FACCSE001,Dr. A. Kumar,CS301,Data Structures,CSE,3,B,Friday,2,CSE-302
FACCSE002,Ms. B. Priya,CS302,Database Management,CSE,3,A,Monday,2,CSE-303
FACCSE002,Ms. B. Priya,CS302,Database Management,CSE,3,A,Wednesday,4,CSE-303
FACCSE002,Ms. B. Priya,CS302,Database Management,CSE,3,B,Tuesday,3,CSE-304
FACCSE002,Ms. B. Priya,CS302,Database Management,CSE,3,B,Thursday,4,CSE-304
FACCSE003,Dr. C. Reddy,CS303,Operating Systems,CSE,5,A,Monday,3,CSE-401
FACCSE003,Dr. C. Reddy,CS303,Operating Systems,CSE,5,A,Tuesday,4,CSE-401
FACCSE003,Dr. C. Reddy,CS303,Operating Systems,CSE,5,A,Friday,1,CSE-401
FACCSE004,Mr. D. Rao,CS304,Computer Networks,CSE,5,A,Monday,4,CSE-402
FACCSE004,Mr. D. Rao,CS304,Computer Networks,CSE,5,A,Wednesday,1,CSE-402
FACCSE004,Mr. D. Rao,CS304,Computer Networks,CSE,5,B,Thursday,2,CSE-403
FACCSE005,Ms. E. Devi,CS305,Software Engineering,CSE,7,A,Monday,5,CSE-501
FACCSE005,Ms. E. Devi,CS305,Software Engineering,CSE,7,A,Tuesday,5,CSE-501
FACCSE005,Ms. E. Devi,CS305,Software Engineering,CSE,7,A,Wednesday,5,CSE-501
FACCSE006,Dr. F. Sharma,CS306,Machine Learning,CSE,7,A,Monday,6,CSE-502
FACCSE006,Dr. F. Sharma,CS306,Machine Learning,CSE,7,A,Thursday,5,CSE-502
FACCSE006,Dr. F. Sharma,CS306,Machine Learning,CSE,7,A,Friday,6,CSE-502
